      Step     Time          Energy          fmax
FIRE:    0 01:01:44      119.568458        4.365250
FIRE:    1 01:01:44      118.175901        1.991492
FIRE:    2 01:01:44      117.982182        1.224225
FIRE:    3 01:01:44      117.865592        0.644424
FIRE:    4 01:01:44      117.862884        0.643429
FIRE:    5 01:01:44      117.857571        0.641456
FIRE:    6 01:01:44      117.849821        0.638538
FIRE:    7 01:01:44      117.839801        0.634724
FIRE:    8 01:01:44      117.827611        0.630077
FIRE:    9 01:01:44      117.813265        0.624667
FIRE:   10 01:01:44      117.796728        0.618561
FIRE:   11 01:01:44      117.775867        0.611057
FIRE:   12 01:01:44      117.749826        0.601886
FIRE:   13 01:01:44      117.717820        0.590676
FIRE:   14 01:01:44      117.679110        0.576919
FIRE:   15 01:01:44      117.632777        0.559968
FIRE:   16 01:01:44      117.577658        0.539111
FIRE:   17 01:01:44      117.512949        0.513719
FIRE:   18 01:01:44      117.438662        0.483451
FIRE:   19 01:01:44      117.354824        0.448372
FIRE:   20 01:01:44      117.262123        0.408461
FIRE:   21 01:01:44      117.163098        0.362905
FIRE:   22 01:01:44      117.060713        0.310283
FIRE:   23 01:01:44      116.960501        0.252286
FIRE:   24 01:01:44      116.869650        0.190335
FIRE:   25 01:01:44      116.798886        0.196273
FIRE:   26 01:01:44      116.763904        0.358240
FIRE:   27 01:01:44      116.755057        0.158154
FIRE:   28 01:01:44      116.753783        0.133158
FIRE:   29 01:01:44      116.753452        0.116510
FIRE:   30 01:01:44      116.752953        0.085486
FIRE:   31 01:01:44      116.752524        0.050773
FIRE:   32 01:01:44      116.752346        0.051005
FIRE:   33 01:01:44      116.752398        0.051064
FIRE:   34 01:01:44      116.752380        0.051033
FIRE:   35 01:01:44      116.752347        0.050971
FIRE:   36 01:01:44      116.752301        0.050880
FIRE:   37 01:01:44      116.752246        0.050761
FIRE:   38 01:01:44      116.752187        0.050616
FIRE:   39 01:01:44      116.752128        0.050448
FIRE:   40 01:01:44      116.752073        0.050259
FIRE:   41 01:01:44      116.752016        0.050032
FIRE:   42 01:01:44      116.751959        0.049767
      Step     Time          Energy          fmax
FIRE:    0 01:02:11    30941.411752     3269.642846
FIRE:    1 01:02:11    26875.980154     2801.774631
FIRE:    2 01:02:11    23435.176728     2389.808427
FIRE:    3 01:02:11    20540.067970     2029.501576
FIRE:    4 01:02:11    18119.827121     1716.081623
FIRE:    5 01:02:11    16111.207172     1444.541842
FIRE:    6 01:02:11    14457.814594     1209.860085
FIRE:    7 01:02:11    13109.210131     1007.147988
FIRE:    8 01:02:11    12019.495325      831.764266
FIRE:    9 01:02:12    11146.588379      679.327352
FIRE:   10 01:02:12    10451.550786      545.738593
FIRE:   11 01:02:12     9898.784086      427.182034
FIRE:   12 01:02:12     9457.446109      320.133001
FIRE:   13 01:02:12     9103.716460      311.583275
FIRE:   14 01:02:12     8822.617853      317.368618
FIRE:   15 01:02:12     8608.037995      304.482733
FIRE:   16 01:02:12     8460.444914      274.551160
FIRE:   17 01:02:12     8382.876452      230.114721
FIRE:   18 01:02:12     8376.652642      225.989869
FIRE:   19 01:02:12     8108.178133      119.058518
FIRE:   20 01:02:12     8017.684093       88.494962
FIRE:   21 01:02:12     8052.946727      176.650971
FIRE:   22 01:02:12     7980.161186       41.574142
FIRE:   23 01:02:12     8035.556119      164.104958
FIRE:   24 01:02:12     7977.285851       54.539976
FIRE:   25 01:02:12     7972.136186       32.029844
FIRE:   26 01:02:12     7969.266150       21.794934
FIRE:   27 01:02:12     7969.163111       21.756599
FIRE:   28 01:02:12     7968.966423       21.679571
FIRE:   29 01:02:12     7968.690693       21.563015
FIRE:   30 01:02:12     7968.349023       21.405776
FIRE:   31 01:02:12     7967.947089       21.206902
FIRE:   32 01:02:12     7967.481777       20.966272
FIRE:   33 01:02:12     7966.945765       20.684833
FIRE:   34 01:02:12     7966.265801       20.327974
FIRE:   35 01:02:12     7965.417428       19.881529
FIRE:   36 01:02:12     7964.389544       19.330195
FIRE:   37 01:02:12     7963.175947       18.657906
FIRE:   38 01:02:12     7961.751193       17.851632
FIRE:   39 01:02:12     7960.075996       16.899678
FIRE:   40 01:02:12     7958.156044       15.785194
FIRE:   41 01:02:12     7956.037573       14.484718
FIRE:   42 01:02:12     7953.723306       12.985371
FIRE:   43 01:02:12     7951.295186       11.285704
FIRE:   44 01:02:12     7948.867965        9.397942
FIRE:   45 01:02:12     7946.589234        7.333563
FIRE:   46 01:02:12     7944.640211        5.106306
FIRE:   47 01:02:12     7943.259198        2.733359
FIRE:   48 01:02:12     7942.799108        7.021101
FIRE:   49 01:02:12     7942.709360        3.622156
FIRE:   50 01:02:12     7942.682837        1.514143
FIRE:   51 01:02:12     7942.681482        1.331646
FIRE:   52 01:02:12     7942.679402        0.988815
FIRE:   53 01:02:12     7942.677560        0.527482
FIRE:   54 01:02:12     7942.676797        0.250998
FIRE:   55 01:02:12     7942.677276        0.460412
FIRE:   56 01:02:12     7942.677238        0.445875
FIRE:   57 01:02:12     7942.677168        0.417246
FIRE:   58 01:02:12     7942.677071        0.375404
FIRE:   59 01:02:12     7942.676960        0.321651
FIRE:   60 01:02:12     7942.676846        0.257701
FIRE:   61 01:02:12     7942.676740        0.247016
FIRE:   62 01:02:12     7942.676653        0.246364
FIRE:   63 01:02:12     7942.676586        0.245500
FIRE:   64 01:02:12     7942.676547        0.244350
FIRE:   65 01:02:12     7942.676533        0.242893
FIRE:   66 01:02:12     7942.676531        0.242863
FIRE:   67 01:02:12     7942.676526        0.242802
FIRE:   68 01:02:12     7942.676519        0.242711
FIRE:   69 01:02:12     7942.676510        0.242590
FIRE:   70 01:02:12     7942.676499        0.242437
FIRE:   71 01:02:12     7942.676486        0.242253
FIRE:   72 01:02:12     7942.676472        0.242037
FIRE:   73 01:02:12     7942.676456        0.241759
FIRE:   74 01:02:12     7942.676436        0.241404
FIRE:   75 01:02:12     7942.676413        0.240952
FIRE:   76 01:02:12     7942.676388        0.240379
FIRE:   77 01:02:12     7942.676358        0.239656
FIRE:   78 01:02:12     7942.676324        0.238750
FIRE:   79 01:02:12     7942.676284        0.237625
FIRE:   80 01:02:12     7942.676234        0.236238
FIRE:   81 01:02:12     7942.676173        0.234541
FIRE:   82 01:02:13     7942.676095        0.232473
FIRE:   83 01:02:13     7942.675999        0.229959
FIRE:   84 01:02:13     7942.675884        0.226902
FIRE:   85 01:02:13     7942.675751        0.223182
FIRE:   86 01:02:13     7942.675596        0.218673
FIRE:   87 01:02:13     7942.675412        0.213251
FIRE:   88 01:02:13     7942.675191        0.206762
FIRE:   89 01:02:13     7942.674934        0.198980
FIRE:   90 01:02:13     7942.674645        0.189607
FIRE:   91 01:02:13     7942.674316        0.178373
FIRE:   92 01:02:13     7942.673946        0.164982
FIRE:   93 01:02:13     7942.673552        0.149077
FIRE:   94 01:02:13     7942.673132        0.130515
FIRE:   95 01:02:13     7942.672720        0.108753
FIRE:   96 01:02:13     7942.672332        0.083674
FIRE:   97 01:02:13     7942.672014        0.055193
FIRE:   98 01:02:13     7942.671812        0.022834
